subcategory,action,category,subcategory_remap,notes
facial exfoliators  polishes & scrubs,REMOVE,,,Non-supplement category
"facial exfoliators, polishes & scrubs",REMOVE,,,Non-supplement category
facial rollers & sculptors,REMOVE,,,Non-supplement category
facial serums & acids,REMOVE,,,Non-supplement category
facial toners  astringents & sprays,REMOVE,,,Non-supplement category
"facial toners, astringents & sprays",REMOVE,,,Non-supplement category
facial treatments  serums & peels,REMOVE,,,Non-supplement category
"facial treatments, serums & peels",REMOVE,,,Non-supplement category
facial washes & cleansers,REMOVE,,,Non-supplement category
family planning tests,REMOVE,,,Non-supplement category
fat burners,REMAP,WEIGHT MANAGEMENT FORMULAS,WEIGHT MANAGEMENT FORMULAS,Maps to WEIGHT MANAGEMENT FORMULAS / WEIGHT MANAGEMENT FORMULAS
feminine care contraception,REMOVE,,,Non-supplement category
feminine care menopause products,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
feminine care treatments,REMOVE,,,Non-supplement category
feminine care yeast infection treatments,REMOVE,,,Non-supplement category
feminine douches,REMOVE,,,Non-supplement category
feminine menopause products,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
feminine pads,REMOVE,,,Non-supplement category
feminine washes,REMOVE,,,Non-supplement category
feminine wipes,REMOVE,,,Non-supplement category
fennel seed spice,REMOVE,,,Non-supplement category
fenugreek spice,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
fertility & natal supplements,REMAP,COMBINED MULTIVITAMINS,PRENATAL,Maps to COMBINED MULTIVITAMINS / PRENATAL
first aid antibiotics ointments,REMOVE,,,Non-supplement category
first aid antifungals,REMOVE,,,Non-supplement category
first aid kits,REMOVE,,,Non-supplement category
first aid lice treatments,REMOVE,,,Non-supplement category
first aid tape,REMOVE,,,Non-supplement category
fish oil,REMAP,OIL CATEGORY,FISH OIL,Maps to OIL CATEGORY / FISH OIL
flavonoid supplements,REMAP,BASIC VITAMINS & MINERALS,LETTER VITAMINS,Maps to BASIC VITAMINS & MINERALS / LETTER VITAMINS
flavonoids,REMAP,BASIC VITAMINS & MINERALS,LETTER VITAMINS,Maps to BASIC VITAMINS & MINERALS / LETTER VITAMINS
flavor syrups,REMOVE,,,Non-supplement category
flavored syrups,REMOVE,,,Non-supplement category
flavored water,REMOVE,,,Non-supplement category
flax seed spice,REMOVE,,,Non-supplement category
