asin,title,brand,amazon_subcategory,action,reason
B0BKXSF3ZN,6 inch 440c purple professional hairdressing scissors barber shop hairdresser hair cutting and thinning tool (full set) (6 inch thinning),sharonds,hair cutting tools,REMOVE,Non-supplement category
B0BD74DHWZ,"playhouse cover, 420d oxford outdoor playhouse covers 48 l x 67 w x 64 h waterproof uv-proof and dust-proof, cover for outdoor kids playhouse",mrwizms,playhouses,REMOVE,Non-supplement category
B0F1DY5YC5,"the perfect part head shaver - 5 in 1 electric head shaver razor for men with digital display detachable beard & nose trimmer, ipx7 waterproof men's grooming kit, cordless rechargeable electric razor",the perfect part,men's shaving & grooming sets,REMOVE,Non-supplement category
B0F293JPVV,"ipetboom acupressure headband, acupressure wrap belt headband for muscle relaxation, facial skin lift up and chin up belt headband for neck head muscle stress relaxation meditation",ipetboom,acupressure & acupuncture supplies,REMOVE,Non-supplement category
B0F1DB7T64,"patikil 5.5 yard x 3 inch kinesiology tape, 3 roll adhesive cotton sports muscle support tapes waterproof elastic tape for knee ankle wrist shoulder, light blue/green/pink",patikil,athletic & medical tape,REMOVE,Non-supplement category
B01M72N45A,"odontomed2011ãotoscopesetentinstrumentswith,2freebulb,freecarryingcase,lotofextraqualityinstruments",odontomed2011,examination supplies & consumables,REMOVE,Non-supplement category
B0F2F7H3R6,dark spot remover for face and body: hyperpigmentation treatment - natural ingredient - freckle/melasma/sun spot/age spot remover - dark spot corrector cream for women and men,enaskin,acne & blemish treatments,REMOVE,Non-supplement category
B0CR4JHJF6,master massage extra wide 31 spamaster stationary massage table physical therapy salon beauty lash chiropractic bed-aesthetic spa facial medical treatment tattoo bed with shelf in mushroom,master massage equipment,professional massage equipment,REMOVE,Non-supplement category
B0DZHBRK94,"professional microblading tattoo gun kit, wireless eyebrow tattoo pen machine kits, complete microblading supplies with 2pcs 500 mah battery, 20pcs cartridge needles for artists",ybeauty,piercing & tattoo supplies,REMOVE,Non-supplement category
B07GJL3RBD,wyndmere naturals essential oil lavandin ~ certified organic ~ 10ml (1/3 oz),wyndmere,aromatherapy products & supplies,REMOVE,Non-supplement category
B0F7C9DWG6,fenty hair the comeback kid instant damage treatment - 150 ml / 5 fl oz,fenty beauty,other hair treatments,REMOVE,Non-supplement category
B086RYBTBF,"supercut lister bandage scissors, with one serrated blade and gold rings - perfect for emt paramedics, first aid responders stainless steel (4.5 inch)",a2z scilab,surgical supplies & tools,REMOVE,Non-supplement category
B07VN5QTWG,odontomed2011 navy blue pvc insulated grip handle stainless mosquito hemostat locking forceps straight 5 serrated clamp fishing tools odm,odontomed2011,surgical supplies & tools,REMOVE,Non-supplement category
B0F8PB7N9H,calexotics size queen dildo 12 inch,calexotics,sex toys,REMOVE,Non-supplement category
B08BGWRSX2,k&h pet products mother's heartbeat calming dog toy bone pillow gray medium breed heartbeat 10 inch,k&h pet products,pet relaxants,REMOVE,Non-supplement category
B0DNFN8T7Q,"hinzic 2pcs natural dimple makers, facial muscle dimple trainer, pink exerciser lift tools for women beautiful smile",hinzic,other skin care tools & accessories,REMOVE,Non-supplement category
B0DB8J22CB,"6 pcs resistance bands for working out, exercise loop bands for women and men, elastic stretch bands workout bands for yoga pilates fitness home gym body stretching booty legs strength training",jjshund,exercise bands,REMOVE,Non-supplement category
B0FDB59YWX,"facial cleansing brush, 3in1 silicone face scrubber, waterproof facial scrubber for deep cleansing, rechargeable face exfoliation brush with 2 adjustable speeds, face spin brush for women men (pink)",wrewing,skin care devices,REMOVE,Non-supplement category
