Product_ID,ASIN/UPC Key,MI: Brand,MI: Description,Source Category Trx,Source Subcategory Trx,Dollars in USD
43,B0DQQFHBNJ,SAKI SHEARS,"SAKI KOHANA DAMASCUS STEEL HAIR CUTTING SHEARS, 61-63 HRC HARDNESS, JAPANESE CONVEX BLADE",SALON & SPA EQUIPMENT,HAIR CUTTING TOOLS,684.0
44,B00X4PDXPW,GREENHEALTH,BLOODORANGEESSENTIALOIL8FLOZ(237ML)ALUMINUMBOTTLEW/PLUGCAP100%PUREESSENTIALOILGREENHEALTH,ALTERNATIVE MEDICINE,AROMATHERAPY & ESSENTIAL OILS,6636.48
45,B0FF4D1YD8,SHEGLAM,"SHEGLAMSTRONGHOLDEDGECONTROLGELÂNONÂGREASY,WATERÂRESISTANT,NOFLAKESORWHITECASTÂINFUSEDWITHCASTOR,JOJOBA&CAMELLIAOILSÂCRANBERRYSCENTÂSLEEKEDGES&FRIZZCONTROLÂ2.5FLOZ",HAIR STYLING PRODUCTS,"HAIR GELS, POMADE & WAXES",8.99
46,B0DGGQ3XL8,TANTALY,TANTALY 40.3 LB SEX DOLL FOR MEN LIFE SIZE LOVE DOLL WITH 3D 3 IN 1 TIGHT VAGINAL ANAL BREAST LIFELIKE BIG BOOBS AND BUTT FOR ADULT SEX TOY MALE MASTURBATOR FOR MEN REALISTIC MONICA (WHEAT) 2.0,SEXUAL WELLNESS,SEX TOYS,
47,B0F9CNJ4PF,LITTLE SQUIRT SYRUP PUMP,"COFFEE SYRUP, ALMOND ORGEAT FLAVORED SYRUP FOR DRINKS, PUMP INCLUDED, 25.4 FL OZ",BEVERAGE MIXERS & ADDITIVES,FLAVORED SYRUPS,
48,B0FDH4WMJY,IDEAL PERFORMANCE,"BLOOD FLOW SUPPLEMENT CAPSULES, OFFICIAL BLOODFLOW ADVANCED BLOOD FORMULA SUPPLEMENT PILLS - MAXIMUM STRENGTH, ALL NATURAL HEALTHY CIRCULATION & STABLE LEVELS, BLOOD FLOW HEALTH REVIEWS (2 PACK)",SUPPLEMENTS,OTHER DIETARY SUPPLEMENTS,49.95
49,B07DNTYN7D,G.S ONLINE STORE,G.S PACK OF 12 DISSECTING DISSECTION TEASING NEEDLE STRAIGHT BEST QUALITY,MEDICAL & HEALTHCARE SUPPLIES,SURGICAL SUPPLIES & TOOLS,87.5
50,B0DQFBTG4K,EKKOVISION,"PROTEIN POWDER, BROWNIE BATTER FLAVOR, 25 G WHEY PROTEIN PER SCOOP, LOW LACTOSE, HIGH PROTEIN FOR MEN & WOMEN WITH ACTIVE LIFESTYLES, PERFECT FOR SHAKES, SMOOTHIES, AND RECIPES, 30 SERVINGS",PROTEIN,WHEY PROTEIN,3331.32
51,B0785GPGXM,URENUS,"SPIGELIA 200C HOMEOPATHIC REMEDY, URENUS",ALTERNATIVE MEDICINE,SINGLE HOMEOPATHIC REMEDIES,11.99
52,B0D5R231NR,WORMHOLE TATTOO,WORMHOLE TATTOO CARTRIDGE NEEDLES 13RM NEEDLE CARTRIDGE #12 STANDARD 13 ROUND MAGNUM TATTOO NEEDLES 20PCS DISPOSABLE FINGER LEDGE CARTRIDGES 3.5MM TAPER FOR TATTOO GUN TATTOO SUPPLIES 1213RM,SALON & SPA EQUIPMENT,PIERCING & TATTOO SUPPLIES,
53,B0DCG6HDHM,FLYCOCO,"FLYCOCO 99% FULLY BLOCK OUT LIGHT EYE SLEEP MASK, 3D DEEP CONTOURED EYES COVER ZERO PRESSURE, LONG LASH EXTENSION EYES MASK WITH ADJUSTABLE STRAPS FOR SLEEPING TRAVEL HOME NAP REST WOMEN MEN (ROSE)",SLEEP & SNORING,SLEEPING MASKS,1358.51
54,B0FFHS6LJ7,NUTRICOST,"NUTRICOST NOPAL CACTUS (2000MG) 180 VEGAN CAPSULES - PRICKLY PEAR CACTUS, 60 SERVINGS",HERBAL SUPPLEMENTS,OTHER HERBAL SUPPLEMENTS,767.52
55,B0DM63Y1QR,NOAVII,"CREATINE MONOHYDRATE GUMMIES 5000MG FOR MEN & WOMEN, CHEWABLES CREATINE MONOHYDRATE FOR MUSCLE STRENGTH, MUSCLE BUILDER, ENERGY BOOST, PRE-WORKOUT SUPPLEMENT-180 PINEAPPLE GUMMIES",AMINO ACIDS,CREATINE AMINO ACIDS,
56,B0F79VBBDD,BLACK CANYON HOME AND BODY,"BLACK CANYON FRANKINCENSE & GOLDEN MYRRH SCENTED BODY WASH, 16 OZ",BATH & BODY CARE,BODY WASHES & SHOWER GELS,74.91
57,B0CC1Z9H9J,POND'S,PACK OF 4 - POND'S SANDAL TALCUM POWDER -15G,BATH & BODY CARE,ANTI-CHAFING PRODUCTS,2925.88
58,B0F3QJ841K,FORCE FACTOR,"FORCE FACTOR ULTIMATE MAGNESIUM SUPPLEMENT, 330MG MAGNESIUM GLYCINATE & MAGNESIUM CITRATE, LIKE MAGNESIUM GUMMIES, SUPPORT CALM, RELAXATION, VEGAN & GLUTEN FREE, MIXED BERRY FLAVOR, 60 SOFT CHEWS",MINERALS,MAGNESIUM SUPPLEMENTS,
59,B08XMRQM8F,JUVENESCENCE,JUVENESCENCE METABOLIC SWITCH KETONE DRINK - C6 KETONE DI-ESTER (3 COUNT) - SWITCH ON KETOSIS - BHB,WEIGHT GAIN & LOSS SUPPLEMENTS,OTHER THERMOGENICS SUPPLEMENTS,4127.94
60,B07SLC4F3Q,PLANTERS,"PLANTERS CASHEWS, SALTED, 1.5 OUNCE SINGLE SERVE BAG, 72 BAGS TOTAL",NUTS & SEEDS,CASHEWS,
61,B07BZT4NR7,EARTHBORN ELEMENTS,"EARTHBORN ELEMENTS DIATOMACEOUS EARTH (1 GALLON), RESEALABLE BUCKET, PURE FRESHWATER AMORPHOUS SILICA",MINERALS,TRACE MINERALS,
62,B0CGB15Y1B,VAKLY,"16 OZ GRADUATED PAPER CUPS - LARGE DISPOSABLE WAX COATED MEDICINE CUPS WITH CLEAR MEASUREMENTS ON EACH CUP FOR MEASURING FLUID INTAKE AND URINE OUTPUT AS WELL AS COOKING, MIXING PAINT, STAIN, EPOXY",MEDICAL & HEALTHCARE SUPPLIES,FLUID ADMINISTRATION & COLLECTION,
63,B0D73JWQSJ,NUTRARIZE,"(2 PACK) NEW VIDA KETO GUMMIES, NEWVIDA KETO ACV GUMMIES, NEW VITA ACV KETO SUPPORT SUPPLEMENT, ALL NATURAL APPLE CIDER VINEGAR 1000MG, NEW KETO VITAMINS, OFFICIAL NEW VIDA REVIEWS (120 GUMMIES)",WEIGHT GAIN & LOSS SUPPLEMENTS,WEIGHT LOSS SUPPLEMENTS,149.82
64,B0FBMFX7TK,THERAFLU,"THERAFLU SEVERE CONGESTION RELIEF NASAL MIST, 0.34 FL OZ","ALLERGY, SINUS & ASTHMA",SINUS MEDICINE,335.58
65,B0DTKRM9SG,SACATR,"PURE ESSENTIAL OILS SET - 36 SCENTS FOR AROMATHERAPY, DIFFUSER, MASSAGE & DIY (5ML EACH)",ALTERNATIVE MEDICINE,AROMATHERAPY & ESSENTIAL OILS,
66,B0CGVWMH91,RILLVO,(5 PACK) BIOBLEND HEMP GUMMIES ADVANCED FORMULA BIO BLEND PURE HEMP EXTRACT SHARK PERFORMANCE GUMMYS TANK SUPPORT SUPPLEMENT MEN WOMEN (300 GUMMIES),ALTERNATIVE MEDICINE,HEMP THERAPY PRODUCTS,
