[2026-01-01T02:25:47.200874] RUN START: uncoded_amz_p5_2025 | Run: run_1
[2026-01-01T02:25:52.432440] Batch 226 complete: 100 products processed
[2026-01-01T02:25:52.456405] Batch 227 complete: 100 products processed
[2026-01-01T02:25:52.480317] Batch 228 complete: 100 products processed
[2026-01-01T02:25:52.502577] Batch 229 complete: 100 products processed
[2026-01-01T02:25:52.525907] Batch 230 complete: 100 products processed
[2026-01-01T02:25:52.548976] Batch 231 complete: 100 products processed
[2026-01-01T02:25:52.575469] Batch 232 complete: 100 products processed
[2026-01-01T02:25:52.599744] Batch 233 complete: 100 products processed
[2026-01-01T02:25:52.623479] Batch 234 complete: 100 products processed
[2026-01-01T02:25:52.645563] Batch 235 complete: 100 products processed
[2026-01-01T02:25:52.668801] Batch 236 complete: 100 products processed
[2026-01-01T02:25:52.692318] Batch 237 complete: 100 products processed
[2026-01-01T02:25:52.718030] Batch 238 complete: 100 products processed
[2026-01-01T02:25:52.740229] Batch 239 complete: 100 products processed
[2026-01-01T02:25:52.767344] Batch 240 complete: 100 products processed
[2026-01-01T02:25:52.788932] Batch 241 complete: 100 products processed
[2026-01-01T02:25:52.811483] Batch 242 complete: 100 products processed
[2026-01-01T02:25:52.834330] Batch 243 complete: 100 products processed
[2026-01-01T02:25:52.857111] Batch 244 complete: 100 products processed
[2026-01-01T02:25:52.880054] Batch 245 complete: 100 products processed
[2026-01-01T02:25:52.902718] Batch 246 complete: 100 products processed
[2026-01-01T02:25:52.925639] Batch 247 complete: 100 products processed
[2026-01-01T02:25:52.948150] Batch 248 complete: 100 products processed
[2026-01-01T02:25:52.970798] Batch 249 complete: 100 products processed
[2026-01-01T02:25:52.994072] Batch 250 complete: 100 products processed
[2026-01-01T02:25:53.016842] Batch 251 complete: 100 products processed
[2026-01-01T02:25:53.041188] Batch 252 complete: 100 products processed
[2026-01-01T02:25:53.064020] Batch 253 complete: 100 products processed
[2026-01-01T02:25:53.087376] Batch 254 complete: 100 products processed
[2026-01-01T02:25:53.110983] Batch 255 complete: 100 products processed
[2026-01-01T02:25:53.133481] Batch 256 complete: 100 products processed
[2026-01-01T02:25:53.156713] Batch 257 complete: 100 products processed
[2026-01-01T02:25:53.177909] Batch 258 complete: 100 products processed
[2026-01-01T02:25:53.199532] Batch 259 complete: 100 products processed
[2026-01-01T02:25:53.222931] Batch 260 complete: 100 products processed
[2026-01-01T02:25:53.244983] Batch 261 complete: 100 products processed
[2026-01-01T02:25:53.267907] Batch 262 complete: 100 products processed
[2026-01-01T02:25:53.291060] Batch 263 complete: 100 products processed
[2026-01-01T02:25:53.312722] Batch 264 complete: 100 products processed
[2026-01-01T02:25:53.335139] Batch 265 complete: 100 products processed
[2026-01-01T02:25:53.357024] Batch 266 complete: 100 products processed
[2026-01-01T02:25:53.380201] Batch 267 complete: 100 products processed
[2026-01-01T02:25:53.402844] Batch 268 complete: 100 products processed
[2026-01-01T02:25:53.425784] Batch 269 complete: 100 products processed
[2026-01-01T02:25:53.448822] Batch 270 complete: 100 products processed
[2026-01-01T02:25:53.471707] Batch 271 complete: 100 products processed
[2026-01-01T02:25:53.494609] Batch 272 complete: 100 products processed
[2026-01-01T02:25:53.517902] Batch 273 complete: 100 products processed
[2026-01-01T02:25:53.541116] Batch 274 complete: 100 products processed
[2026-01-01T02:25:53.564989] Batch 275 complete: 100 products processed
[2026-01-01T02:25:53.587831] Batch 276 complete: 100 products processed
[2026-01-01T02:25:53.611228] Batch 277 complete: 100 products processed
[2026-01-01T02:25:53.634854] Batch 278 complete: 100 products processed
[2026-01-01T02:25:53.658930] Batch 279 complete: 100 products processed
[2026-01-01T02:25:53.682883] Batch 280 complete: 100 products processed
[2026-01-01T02:25:53.705701] Batch 281 complete: 100 products processed
[2026-01-01T02:25:53.727324] Batch 282 complete: 100 products processed
[2026-01-01T02:25:53.748947] Batch 283 complete: 100 products processed
[2026-01-01T02:25:53.771838] Batch 284 complete: 100 products processed
[2026-01-01T02:25:53.792489] Batch 285 complete: 100 products processed
[2026-01-01T02:25:53.815279] Batch 286 complete: 100 products processed
[2026-01-01T02:25:53.837653] Batch 287 complete: 100 products processed
[2026-01-01T02:25:53.860591] Batch 288 complete: 100 products processed
[2026-01-01T02:25:53.883670] Batch 289 complete: 100 products processed
[2026-01-01T02:25:53.904592] Batch 290 complete: 100 products processed
[2026-01-01T02:25:53.926875] Batch 291 complete: 100 products processed
[2026-01-01T02:25:53.948477] Batch 292 complete: 100 products processed
[2026-01-01T02:25:53.971904] Batch 293 complete: 100 products processed
[2026-01-01T02:25:53.994920] Batch 294 complete: 100 products processed
[2026-01-01T02:25:54.017912] Batch 295 complete: 100 products processed
[2026-01-01T02:25:54.041616] Batch 296 complete: 100 products processed
[2026-01-01T02:25:54.064677] Batch 297 complete: 100 products processed
[2026-01-01T02:25:54.087924] Batch 298 complete: 100 products processed
[2026-01-01T02:25:54.109777] Batch 299 complete: 100 products processed
[2026-01-01T02:25:54.130975] Batch 300 complete: 100 products processed
[2026-01-01T02:25:54.154117] Batch 301 complete: 100 products processed
[2026-01-01T02:25:54.177524] Batch 302 complete: 100 products processed
[2026-01-01T02:25:54.201344] Batch 303 complete: 100 products processed
[2026-01-01T02:25:54.223943] Batch 304 complete: 100 products processed
[2026-01-01T02:25:54.247028] Batch 305 complete: 100 products processed
[2026-01-01T02:25:54.270643] Batch 306 complete: 100 products processed
[2026-01-01T02:25:54.293736] Batch 307 complete: 100 products processed
[2026-01-01T02:25:54.317598] Batch 308 complete: 100 products processed
[2026-01-01T02:25:54.341732] Batch 309 complete: 100 products processed
[2026-01-01T02:25:54.364560] Batch 310 complete: 100 products processed
[2026-01-01T02:25:54.387472] Batch 311 complete: 100 products processed
[2026-01-01T02:25:54.410318] Batch 312 complete: 100 products processed
[2026-01-01T02:25:54.432376] Batch 313 complete: 100 products processed
[2026-01-01T02:25:54.453861] Batch 314 complete: 100 products processed
[2026-01-01T02:25:54.463904] Batch 315 complete: 46 products processed
[2026-01-01T02:25:54.563012] ================================================================================
[2026-01-01T02:25:54.563137] PROCESSING COMPLETE
[2026-01-01T02:25:54.563178] ================================================================================
[2026-01-01T02:25:54.563212] Success: 0, Filtered: 0, Errors: 0
[2026-01-01T02:25:54.563246] Total duration: 7.36s
[2026-01-01T02:25:54.563400] Run manifest saved: audit/amz_p5_2025/run_1/run_manifest.json
