asin,title,brand,amazon_subcategory,lookup_action,filter_reason,matched_keyword
B0CM2RN3Y2,"colonbright psyllium husk powder colon cleanser - colon cleanse for constipation relief, bloating relief & gut health, vegan, gluten free fiber supplement - healthy digestive function 30 servings (1)",just ripe nutrition,other digestive supplements,REMAP,Contains non-supplement keyword: 'cleanser',cleanser
B0CN2PVFT5,massive beads natural healing power gemstone crystal beads unisex adjustable macrame bracelets,massive beads,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CN2SKHG4,"honey yellow calcite crystal david star shaped crystal for men and women, small, metal, no gemstone",astroghar,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CN9D7JVS,"feraco magnetic bracelets for women,titanium steel magnetic bracelet with neodymium magnets & sparkling crystals,jewelry gifts",feraco,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0CNPZ4BZR,"blue calcite rough rock, raw natural stone, chakra crystals, quality gemstones for reiki healing, wellness, meditation, handmade in our lapidary workshop (2 pcs)",eusice,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CNR5JB2K,"tgh natural blue lace agate beads bracelet micro faceted gemstones jewelry for her, december birthstone, gold plated chain 8 inch, valentine day gift",tgh,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0CSG5WKHG,digestive triphala capsules organic complex - organic triphala colon cleanser & detox digestive health supplement - ayurvedic complex for gas bloating & constipation relief for women & men (4 months),natures craft,other digestive supplements,REMAP,Contains non-supplement keyword: 'cleanser',cleanser
B0CT1QR282,"stardust gemstones rose quartz healing crystal jewelry, natural rose quartz jewelry set for women, attract love& joy, anti anxiety stress relief including gift box (rose quartz heart silver)",stardust,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0CT8X55CB,100+caratsgreenonyxmixedgemsnaturalloosegemstones100%naturalloosegemstonesbulkgradea+(naturalinclusions)handcutandpolished40-60piecesgemstonewholesalelotâbygmgemmartusa(go-60001),gemmartusa loose gemstone,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CTCLKV2C,"fluorite crystal egg, rock crystal gemstone polished mineral rock egg stones, massage jade healing colorful crystal home craft decoration",tissting,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CTKZZ2TG,metjakt metjakt handmade original healing crystal 8mm faceted gemstone stretch bracelet with 18k platinum beads and micro pave cz ruby ball for women (amazonite),metjakt,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CV9WTRSW,"crystalnecklacebirthdaygiftsforwomen&momânaturalrainbowmoonstonehealingcrystalpendantforchakrabalance,goodluck,positivity&meditationâtreeoflifecrystaljewelry",karmapledge,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0CX1Y2FZZ,"apatite crystal pendulum for necklace with chain - dowsing for divination, meditation, chakra healing and crystal grid - natural gemstone",anaya agate,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CX1YPD1Y,"selenitecrystalpendulumâchakrapendulumfornecklacewithchainâdowsingpendulumfordivination,meditation,chakrahealingandcrystalgridânaturalgemstonependulum,35-40mm",anaya agate,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CX1YWDK1,"anayaagateredjaspercrystalpendulumâchakrapendulumfornecklacewithchainâdowsingpendulumfordivination,meditation,chakrahealingandcrystalgridânaturalgemstonependulum",anaya agate,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CX1Z5S78,"aragonitecrystalpendulumâchakrapendulumfornecklacewithchainâdowsingpendulumfordivination,meditation,chakrahealingandcrystalgridânaturalgemstonependulum",anaya agate,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CX1Z7RG9,"strawberryquartzcrystalpendulumâchakrapendulumfornecklacewithchainâdowsingpendulumfordivination,meditation,chakrahealingandcrystalgridânaturalgemstonependulum",anaya agate,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CX1ZZYG1,"anayaagatecrystalpendulumâgemstonependulumwithchainâdowsingpendulumfordivination,meditation,chakrahealingânaturalstonependulumwithreikipointedandjewelrypouch",anaya agate,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0CX217R93,"dendriticopalcrystalpendulumâchakrapendulumfornecklacewithchainâdowsingpendulumfordivination,meditation,chakrahealingandcrystalgridânaturalgemstonependulum",anaya agate,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CX236JH2,"rubyzoisitecrystalpendulumâchakrapendulumfornecklacewithchainâdowsingpendulumfordivination,meditation,chakrahealingandcrystalgridânaturalgemstonependulum",anaya agate,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CXJ29R66,"tumbled rose quartz stones bulk, 200 gram 1/2 - 1 size handpicked polished natural healing crystals gemstones for jewelry making, decoration, healing stone, reiki, chakra and home decoration",ebristar,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0CXJGRTXX,organic himalayan pure shilajit resin- natural and authentic shilajit for men and women energy supplement  800mg max strength with 85+ trace minerals  includes spoon  inlcudes booklet  30g,aiszg,trace minerals,REMAP,Contains non-supplement keyword: 'book',book
B0CXTKDYDK,"blue amazonite oval ring, minimalist solitaire gemstone ring, dainty gold stacking ring, healing gemstone ring, gift for crystal lover (amazonite)",danique jewelry,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CYLSVZNZ,"black tourmaline - 1lb healing crystals, tourmaline, crystal set, feng shui decor, reiki, wiccan supplies and tools, gemstones for crafts, precious gemstones, spiritual stones, tourmaline crystal",pyor,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CYLV2QK7,"bloodstone - 1lb tumbled crystals, stones and crystals, healing crystals and stones, crystal gifts, feng shui decor, money gemstones bulk",pyor,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CYLVFLS1,"pyor bloodstone - 1/2lb tumbled crystals, stones and crystals, feng shui decor, crystal gifts, healing crystals and stones, money gemstones bulk",pyor,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CYLVJ3MJ,"rose quartz - 1lb tumbled polished stones, rose quartz crystals, gemstones and crystals, crystals bulk, reiki supplies, stones for crafts, crystal gifts, bulk crystals, meditation for beginners",pyor,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CYLVYD8K,"rose quartz - 1/2lb tumbled polished stones, rose quartz crystals, gemstones and crystals, stones for crafts, crystal gifts, bulk crystals, crystals bulk, reiki supplies, meditation for beginners",pyor,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CYLW46B4,"pyor clear quartz crystal - 1/2lb tumbled stones, crystals for crafts, energy healing, loose gemstones, bulk tumbled crystals and stones, wiccan supplies and tools",pyor,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0CYLXG6BJ,"pyor labradorite - 1/2lb gemstones tumble bulk, healing stones, stones for crafts, polished stones, feng shui decor, reiki supplies, rock collection",pyor,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
