keyword,ingredient,nw_category,nw_subcategory,old_nw_category,old_nw_subcategory,change_source,change_notes
protein - animal - whey & milk,,PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS,,PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS,,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS/nan' → NEW taxonomy: 'PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS/nan'
protein - plant - general,,PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS,,PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS,,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS/nan' → NEW taxonomy: 'PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS/nan'
protein - plant - multi,,PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS,,PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS,,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS/nan' → NEW taxonomy: 'PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS/nan'
protein - plant - pea,,PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS,,PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS,,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS/nan' → NEW taxonomy: 'PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS/nan'
protein - plant - rice,,PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS,,PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS,,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS/nan' → NEW taxonomy: 'PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS/nan'
proteolytic enzymes,Proteolytic,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
pseudoephedrine,Pseudoephedrine,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
psyllium,Psyllium,PROBIOTICS+,FIBER PRODUCTS & LAXATIVES,FIBER PRODUCTS & LAXATIVES,FIBER PRODUCTS & LAXATIVES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'FIBER PRODUCTS & LAXATIVES/FIBER PRODUCTS & LAXATIVES' → NEW taxonomy: 'PROBIOTICS+/FIBER PRODUCTS & LAXATIVES'
pumpkin,Pumpkin,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
pureberry+purse,Shepherds Purse,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
purepurse,Shepherds Purse,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
pycnogenol,Pine Bark,HERBAL REMEDIES,POLYPHENOLS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
pygeum,Pygeum,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
pyridium,Phenazopyridine,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
pyridoxine,Vitamin B6,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
