keyword,ingredient,nw_category,nw_subcategory,old_nw_category,old_nw_subcategory,change_source,change_notes
kelp,Kelp,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
kelp - lecithin - b-6 combo,,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
keratin,Keratin,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
ketones,Ketones,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
klamath,Algae,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
kola nut,Kola Nut,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
kombucha,Kombucha,HERBAL REMEDIES,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'FOOD SUPPLEMENTS/FOOD SUPPLEMENTS' → NEW taxonomy: 'HERBAL REMEDIES/FOOD SUPPLEMENTS'
konjac root,Glucomannan,ACTIVE NUTRITION,WEIGHT MANAGEMENT FORMULAS,WEIGHT MANAGEMENT FORMULAS,WEIGHT MANAGEMENT FORMULAS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'WEIGHT MANAGEMENT FORMULAS/WEIGHT MANAGEMENT FORMULAS' → NEW taxonomy: 'ACTIVE NUTRITION/WEIGHT MANAGEMENT FORMULAS'
kratom,Kratom,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
krill oil,Krill Oil,FATTY ACIDS,FISH,OIL CATEGORY,FISH OIL,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OIL CATEGORY/FISH OIL' → NEW taxonomy: 'FATTY ACIDS/FISH'
kudzu,Kudzu,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
l carnitine,Acetyl L Carnitine,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
l cysteine,Cysteine,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
l theanine,Theanine,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
l tyrosine,Tyrosine,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
l-carnitine,Acetyl L Carnitine,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
l-cysteine,Cysteine,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
l-theanine,Theanine,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
l-tyrosine,Tyrosine,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
lactase,Lactase,PROBIOTICS+,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'DIGESTIVE AIDS & ENZYMES/DIGESTIVE AIDS & ENZYMES' → NEW taxonomy: 'PROBIOTICS+/DIGESTIVE AIDS & ENZYMES'
larch,Larax A R A Larch,HERBAL REMEDIES,SINGLES,HERBAL/HOMEOPATHIC COLD & FLU,HERBAL SINGLES COLD & FLU,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL/HOMEOPATHIC COLD & FLU/HERBAL SINGLES COLD & FLU' → NEW taxonomy: 'HERBAL REMEDIES/SINGLES'
larix,Larax A R A Larch,HERBAL REMEDIES,SINGLES,HERBAL/HOMEOPATHIC COLD & FLU,HERBAL SINGLES COLD & FLU,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL/HOMEOPATHIC COLD & FLU/HERBAL SINGLES COLD & FLU' → NEW taxonomy: 'HERBAL REMEDIES/SINGLES'
lavender,Lavender,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
laxative,Laxatives,PROBIOTICS+,FIBER PRODUCTS & LAXATIVES,FIBER PRODUCTS & LAXATIVES,FIBER PRODUCTS & LAXATIVES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'FIBER PRODUCTS & LAXATIVES/FIBER PRODUCTS & LAXATIVES' → NEW taxonomy: 'PROBIOTICS+/FIBER PRODUCTS & LAXATIVES'
laxative mineral oil,Veg Supp Oils,FATTY ACIDS,ALL OTHER OILS,OIL CATEGORY,ALL OTHER OIL,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OIL CATEGORY/ALL OTHER OIL' → NEW taxonomy: 'FATTY ACIDS/ALL OTHER OILS'
laxatives,Laxatives,PROBIOTICS+,FIBER PRODUCTS & LAXATIVES,FIBER PRODUCTS & LAXATIVES,FIBER PRODUCTS & LAXATIVES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'FIBER PRODUCTS & LAXATIVES/FIBER PRODUCTS & LAXATIVES' → NEW taxonomy: 'PROBIOTICS+/FIBER PRODUCTS & LAXATIVES'
lcarnitine,Acetyl L Carnitine,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
lecithin,Lecithin,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
lemon balm,Lemon Balm,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
lemon grass,Lemongrass,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
lemongrass,Lemongrass,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
licorice,Licorice,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
lidocaine,Lidocaine,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
limonene,Orange Peel,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
linden,Linden,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
liquorice,Licorice,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
liver extract,Liver Extract,HERBAL REMEDIES,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'FOOD SUPPLEMENTS/FOOD SUPPLEMENTS' → NEW taxonomy: 'HERBAL REMEDIES/FOOD SUPPLEMENTS'
liver extracts,Liver Extract,HERBAL REMEDIES,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'FOOD SUPPLEMENTS/FOOD SUPPLEMENTS' → NEW taxonomy: 'HERBAL REMEDIES/FOOD SUPPLEMENTS'
lobelia,Lobelia,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
lomatium,Lomatium,HERBAL REMEDIES,SINGLES,HERBAL/HOMEOPATHIC COLD & FLU,HERBAL SINGLES COLD & FLU,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL/HOMEOPATHIC COLD & FLU/HERBAL SINGLES COLD & FLU' → NEW taxonomy: 'HERBAL REMEDIES/SINGLES'
loratadine,Loratadine,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
lutein,Lutein,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
lutemax,Lutein,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
lycopene,Lycopene,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
lysine,Lysine,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
m.c.t.,MCT,FATTY ACIDS,MCT,OIL CATEGORY,MCT,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OIL CATEGORY/MCT' → NEW taxonomy: 'FATTY ACIDS/MCT'
maca,Maca,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
magnesium,Magnesium,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
maitake,Maitake Mushroom,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
malic acid,Malic Acid,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
manganese,Manganese,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
mango africano,African Mango,ACTIVE NUTRITION,WEIGHT MANAGEMENT FORMULAS,WEIGHT MANAGEMENT FORMULAS,WEIGHT MANAGEMENT FORMULAS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'WEIGHT MANAGEMENT FORMULAS/WEIGHT MANAGEMENT FORMULAS' → NEW taxonomy: 'ACTIVE NUTRITION/WEIGHT MANAGEMENT FORMULAS'
mangosteen,Mangosteen,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
mannose,Dmannose,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
maqui,Maqui,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
maqui berry,Maqui,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
marshmallow,Marshmallow,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
matcha,Matcha,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
mct,MCT,FATTY ACIDS,MCT,OIL CATEGORY,MCT,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OIL CATEGORY/MCT' → NEW taxonomy: 'FATTY ACIDS/MCT'
mct oil,MCT,FATTY ACIDS,MCT,OIL CATEGORY,MCT,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OIL CATEGORY/MCT' → NEW taxonomy: 'FATTY ACIDS/MCT'
meadowsweet,Meadowsweet,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
melatonin,Melatonin,BASIC VITAMINS & MINERALS,DHEA & PREGNENOLONE & HORMONES,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
mentho-lyptus,Menthol,HERBAL REMEDIES,SINGLES,HERBAL/HOMEOPATHIC COLD & FLU,HERBAL SINGLES COLD & FLU,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL/HOMEOPATHIC COLD & FLU/HERBAL SINGLES COLD & FLU' → NEW taxonomy: 'HERBAL REMEDIES/SINGLES'
menthol,Menthol,HERBAL REMEDIES,SINGLES,HERBAL/HOMEOPATHIC COLD & FLU,HERBAL SINGLES COLD & FLU,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL/HOMEOPATHIC COLD & FLU/HERBAL SINGLES COLD & FLU' → NEW taxonomy: 'HERBAL REMEDIES/SINGLES'
metabolic response,Whole Food Concentrate,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
methenamine,Methenamine,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
methionine,Methionine,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
milk thistle,Milk Thistle,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
minerals and trace,Trace Minerals,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
mistletoe,Mistletoe,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
mk 4,Vitamin K,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
mk 7,Vitamin K,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
mk4,Vitamin K,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
mk7,Vitamin K,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
morinda citrifolia,Noni,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
moringa,Moringa,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
motherwort,Motherwort,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
msm,MSM,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
mucus dm,Dextromethorphan Hydrobromide,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
muira puama,Muira Puama,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
mullein,Mullein,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
multi daily vitamin,Multivitamin,COMBINED MULTIVITAMINS,COMBINED MULTIVITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
multi gummies,Multivitamin,COMBINED MULTIVITAMINS,COMBINED MULTIVITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
multi vitamin,Multivitamin,COMBINED MULTIVITAMINS,COMBINED MULTIVITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
multi vitamins,Multivitamin,COMBINED MULTIVITAMINS,COMBINED MULTIVITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
multi-minerals,,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
multi-vitamin,Multivitamin,COMBINED MULTIVITAMINS,COMBINED MULTIVITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
multi-vitamins,Multivitamin,COMBINED MULTIVITAMINS,COMBINED MULTIVITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
multi-vite,Multivitamin,COMBINED MULTIVITAMINS,COMBINED MULTIVITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
multigummies,Multivitamin,COMBINED MULTIVITAMINS,COMBINED MULTIVITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
multiple vitamin,Multivitamin,COMBINED MULTIVITAMINS,COMBINED MULTIVITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
multiple vitamin - adult,,COMBINED MULTIVITAMINS,COMBINED MULTIVITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
multiple vitamin - children,,COMBINED MULTIVITAMINS,COMBINED MULTIVITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
multiple vitamin - mens,,COMBINED MULTIVITAMINS,COMBINED MULTIVITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
multiple vitamin - senior,,COMBINED MULTIVITAMINS,COMBINED MULTIVITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
multiple vitamin - women,,COMBINED MULTIVITAMINS,COMBINED MULTIVITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
multivitamin,Multivitamin,COMBINED MULTIVITAMINS,COMBINED MULTIVITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
multivitamins,Multivitamin,COMBINED MULTIVITAMINS,COMBINED MULTIVITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
multivite,Multivitamin,COMBINED MULTIVITAMINS,COMBINED MULTIVITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
mushroom,Other Mushroom,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
mushrooms,Other Mushroom,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
mushrooms - shiitake,Shitake,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
myrrh,Myrrh,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
n a c,NAC,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
n acetyl cysteine,NAC,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
n acetyl l cysteine,NAC,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
n acetylcysteine,NAC,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
n aceytl cysteine,NAC,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
n aceytl-cysteine,NAC,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
n-a-c,NAC,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
n-acetyl l-cysteine,NAC,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
n-acetyl-cysteine,NAC,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
