asin,title,brand,amazon_subcategory,lookup_action,filter_reason,matched_keyword
B0F4311JZD,"lamuseland essential oil nasal inhaler, natural and organic plant 6 flavors nasal stick energy bar for sinus & congestion relief, daily relaxation and energy boost (f)",lamuseland,sinus medicine,REMAP,Contains non-supplement keyword: 'essential oil',essential oil
B0F43QMF8X,"naturalgemstonecabochonslotâ3pcspolishedloosestones(15â30mm)âmulti-shapehealingcrystalsforwirewrapping,jewelrymaking&spiritualcrafts",jaguar gems,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0F4RJ3MQZ,"amazing gemstone azurite malachite crystals & healing stones - premium semi precious gem stones for spiritual growth - healing crystals geode clusters for meditation, chakra balance & energy (m)",amazing gemstone,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F4RJPMT3,"amazing gemstone vanadinite crystals and healing stones mineral specimen - semi precious gem stones - healing crystals geode clusters for meditation, chakra balance, and energy (m)",amazing gemstone,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F5GKV8JM,"haskare tiger eye crystal bracelets for men, natural tiger eye bracelet multicolored men beads bracelet healing crystal gemstone durable wire beaded bracelet unique gifts for balance luck prosperity",haskare,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F5H6QBP2,"haskare men's tiger eye crystal bracelets, natural tiger eye bracelet multicolored men beads bracelet healing crystal gemstone durable wire beaded bracelet unique gifts for balance luck prosperity",haskare,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F62BJVSQ,"nuenen 50 pcs worry stones for anxiety teardrop crystal bulk waterdrop gemstone thumb healing stress pocket stone teardrop pendants bulk decor for diy meditation (mixed,1.18 x 0.71 x 0.24 inch)",nuenen,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F63H8VCS,"karelian heritage evil eye triple protection bracelet negative energy blocker with shungite, hematite and tiger eye  crystal healing jewelry for women men bo131",karelian heritage,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0F63PFDR1,"terpsichore magnesium lotion for kids sleep & calm: topical magnesium cream supports children bedtime & night calming - free of melatonin, lavender (3.38 fl oz)",terpsichore,magnesium supplements,REMAP,Contains non-supplement keyword: 'lotion',lotion
B0F664S57Q,sureio 24pcs slug keychains cool worm party supplies glitter gummy worm soft silicone fidget keychain for men women backpack book birthday gifts,sureio,elderberry herbal supplements,REMAP,Contains non-supplement keyword: 'book',book
B0F6746D6H,100 pcs worm bookmarks bulk for kids cute holographic glitter gummy worm fun bookmarks for book lovers adults teacher funny reading gifts bookish party favors,skyygemm,elderberry herbal supplements,REMAP,Contains non-supplement keyword: 'book',book
B0F6CTMCBB,"anima protection crystal set - raw obsidian, black tourmaline, smoky quartz, labradorite & selenite crystal for protection, grounding & transmutation - presented in elegant gift box with guide booklet",anima,other alternative medicine,REMAP,Contains non-supplement keyword: 'book',book
B0F6MDGPKB,"pesoenth obsidian,2pc 1.57-2.17 large raw black obsidian crystals and healing stones,natural gemstones rock rough stone for crystal lovers reiki spiritual gifts",pesoenth,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F6MFZS77,"pesoenth green aventurine crystal,2pc 1.57-2.17 large green aventurine raw crystals and healing stones,natural gemstones rock rough stone for crystal lovers reiki spiritual gifts",pesoenth,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F6MH2M9B,"pesoenth amethyst crystal,2pc 1.57-2.17 large amethyst raw crystals and healing stones,natural gemstones purple rock rough stone for crystal lovers reiki spiritual gifts",pesoenth,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F6TK14D5,2 pcs thumb worry stones for anxiety tigers eye amethyst healing crystals stones pocket hand carved thumb natural stone oval gemstones meditation reiki relax palm stone anxiety relief,divina vitae,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F6TMQP1P,"patikil 20 pcs natural heart shaped crystal stone, 1 inch mini polished love gemstone crystal, pocket rock engraved worry stones for women gifts meditation, dark blue",patikil,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F6V5GJG1,"patikil 20 pcs natural heart shaped crystal stone, 1 inch mini polished love gemstone crystal, pocket rock engraved worry stones for women gifts meditation, light coral",patikil,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0F7FGKG9S,"patikil thumb worry stone for anxiety, 1.6 natural heart crystal stone, polished gemstone hand carved pocket rock anxiety crystals for women stress gifts meditation, cyan blue",patikil,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
